"filename", "language", "Python", "JSON", "HTML", "XML", "JavaScript", "Markdown", "Excel", "SQL", "comment", "blank", "total"
"g:\python\SCSystem\static\jquery\src\ajax\script.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 6, 9, 75
"g:\python\SCSystem\static\jquery\src\ajax\var\location.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\python\SCSystem\static\jquery\src\ajax\var\nonce.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\python\SCSystem\static\jquery\src\ajax\var\rquery.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\python\SCSystem\static\jquery\src\ajax\xhr.js", "JavaScript", 0, 0, 0, 0, 110, 0, 0, 0, 32, 29, 171
"g:\python\SCSystem\static\jquery\src\attributes.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 1, 3, 14
"g:\python\SCSystem\static\jquery\src\attributes\attr.js", "JavaScript", 0, 0, 0, 0, 106, 0, 0, 0, 10, 26, 142
"g:\python\SCSystem\static\jquery\src\attributes\classes.js", "JavaScript", 0, 0, 0, 0, 137, 0, 0, 0, 12, 36, 185
"g:\python\SCSystem\static\jquery\src\attributes\prop.js", "JavaScript", 0, 0, 0, 0, 100, 0, 0, 0, 16, 27, 143
"g:\python\SCSystem\static\jquery\src\attributes\support.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 0, 6, 9, 34
"g:\python\SCSystem\static\jquery\src\attributes\val.js", "JavaScript", 0, 0, 0, 0, 133, 0, 0, 0, 19, 40, 192
"g:\python\SCSystem\static\jquery\src\callbacks.js", "JavaScript", 0, 0, 0, 0, 139, 0, 0, 0, 59, 39, 237
"g:\python\SCSystem\static\jquery\src\core.js", "JavaScript", 0, 0, 0, 0, 259, 0, 0, 0, 58, 84, 401
"g:\python\SCSystem\static\jquery\src\core\DOMEval.js", "JavaScript", 0, 0, 0, 0, 27, 0, 0, 0, 10, 7, 44
"g:\python\SCSystem\static\jquery\src\core\access.js", "JavaScript", 0, 0, 0, 0, 51, 0, 0, 0, 7, 15, 73
"g:\python\SCSystem\static\jquery\src\core\camelCase.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 5, 7, 24
"g:\python\SCSystem\static\jquery\src\core\init.js", "JavaScript", 0, 0, 0, 0, 70, 0, 0, 0, 29, 31, 130
